User,User Type,Restaurant,Date,Time,Week Day,Order ID,Reference ID,Item name,Vendor Name,Item Type,Food Type,MRP Item,Quantity,,,,,,,,,,,,,,,,,,,,
1b47759f923e11ac88c8fae7ebb3a554,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,H101D605,'229195935487',The Sun Downer (2 Egg Fried Egg),,N,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
0388becbcc3419a25fb8856372c6eb58,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,H1027208,'229110730732',Red Bull Yellow Tropical Fruit,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
d2db15e73bf2ffdb6bef8f7355b29203,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,I102A125,'2291101112808',"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
8b4bb175ee45b42259fa2596cc6dfbd5,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,M102E330,'229110142265',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
8b4bb175ee45b42259fa2596cc6dfbd5,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,M102E330,'229110142265',Egg-Cellent Bhurji (2 Egg butter Bhurji),,N,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
a7ab5f3506fe8b19b39c9006512a4f12,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,P1026179,'229110710895',Egg-Cellent Bhurji (2 Egg butter Bhurji),,N,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
d579ca8f8174e7e1752f814a5bece78c,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,Q1030444,'2291102329406',"Golden pancake, Organic Maple, Elaichi bananas Dark Chocolate Chips.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
d579ca8f8174e7e1752f814a5bece78c,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,10:30:00,Thursday,Q1030444,'2291102329406',"Crispy Belgian Waffle, Forest Honey, Melted Butter.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
9392743a98720df0e2ed0bf20270fcdf,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,C1031323,'229110310856',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
b9c09713caf60a9e3babef626bcacb89,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,C1037100,'2291103622839',"English Soft Pancakes, Berry Compote, scoop of Vanilla Ice-Cream.(Eggless)",,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3f1e55002f744562cdabf45d45598be6,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,C2035066,'2291103455485',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
3f1e55002f744562cdabf45d45598be6,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,D1038066,'2291103934178',Fanta Can,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
4dcefa14f04a94d8091e76a40bd927a6,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,G1034765,'2291103447103',Egg-Cellent Bhurji (2 Egg butter Bhurji),,N,Food,FALSE,2,,,,,,,,,,,,,,,,,,,,
4ac23c84430e19484e7921b66be43567,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,H1039938,'2291104529999',Desi Chatpata Aloo Puffs,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
2e8a29f936b9c4f2647c3760f4527d25,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,J1033136,'2291103312716',Thumbs Up  Can - 300 ml,,V,Food,FALSE,3,,,,,,,,,,,,,,,,,,,,
8c6a6b91e82e7832313c4cb65b13e8a3,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,M1036423,'229110369673',Egg-Cellent Bhurji (2 Egg butter Bhurji),,N,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
2f9bd881587814ed2f5376c6c6308c7e,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:00:00,Thursday,N1032456,'2291103133555',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
36570bf556adbfd6571b077bc76cf7a6,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,B1041405,'229111936569',Coke Can (300 Ml),,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
59741ecde754762b61550c2eca00f0a6,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,E1040324,'229111848651',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
1745e487e967c9f1e98d7de24ad4fa63,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,E203F485,'229111845464',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
1745e487e967c9f1e98d7de24ad4fa63,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,E203F485,'229111845464',Cappuccino,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
edf0fe6c5838c10e7abf5f2c91fda68b,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,F1047011,'2291111720793',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
4a3325fec03b1b7c2963a76dafeec81a,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,G103C764,'22911154499',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
1c6bc9394ff66d86c289e26a00b0ce9c,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,I1048645,'2291111738820',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
7188bd4b894e721e13149d155cc2ecce,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,J103D352,'22911164238',Monster Energy Drink,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
6ac5b3f2840014a7782c891300310121,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,L1043792,'2291111117994',Cappuccino,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
4d0127b785a0e9a2a24d35a965e6e4e5,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,M1042331,'2291111040235',Shikanji,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
064991154a3fedb5115beb7d69653174,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,M1045905,'2291111631228',Water Bottle,,V,Food,FALSE,2,,,,,,,,,,,,,,,,,,,,
65b4a666c7d593a60e6d55f766738e35,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,M1049539,'2291112122285',Iced Coffee(Black hot Coffee With Ice),,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
03fdc8d6ac6dd797f8481da2256ff968,employee,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,N103B599,'22911153652',Diet Coke Can,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
55da28019cbca0163a97b387c173b725,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,O203A895,'229111235357',Masala Chai,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
4678005780cce2334334f86c504bf736,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,Q1044087,'229111132750',Cold Coffee,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
5bcd7f230a7d315b38e89f19d64e8c53,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,11:30:00,Thursday,R104A177,'2291112125713',Water Bottle,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
a99b41fe45d602ebbf82ad6e86f20ae0,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,C1003243,'2291113817781',Glass of Coke,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
181b0427b12c11047f4ce8eaafbbbd3d,student,AHMEDABADCAFETERIA:cafedelice,01-09-2022,12:00:00,Thursday,F1006594,'229111502998',Thumbs Up  Can - 300 ml,,V,Food,FALSE,1,,,,,,,,,,,,,,,,,,,,
